Trading Date,Interval Number,Trading Interval,Estimated DPV Generation (MW),Extracted At
"2023-01-01",1,2023-01-01 08:00:00,874.3489,"2024-01-01 12:00:00"
"2023-01-01",2,2023-01-01 08:30:00,1044.859,
"2023-01-01",3,2023-01-01 09:00:00,1202.945,
"2023-01-01",4,2023-01-01 09:30:00,1340.061,
"2023-01-01",5,2023-01-01 10:00:00,1465.38,
"2023-01-01",6,2023-01-01 10:30:00,1573.733,
"2023-01-01",7,2023-01-01 11:00:00,1644.478,
"2023-01-01",8,2023-01-01 11:30:00,1691.037,
"2023-01-01",9,2023-01-01 12:00:00,1708.591,
"2023-01-01",10,2023-01-01 12:30:00,1701.839,
"2023-01-01",11,2023-01-01 13:00:00,1665.407,
"2023-01-01",12,2023-01-01 13:30:00,1607.02,
"2023-01-01",13,2023-01-01 14:00:00,1523.296,
"2023-01-01",14,2023-01-01 14:30:00,1410.91,
"2023-01-01",15,2023-01-01 15:00:00,1275.392,
"2023-01-01",16,2023-01-01 15:30:00,1121.453,
"2023-01-01",17,2023-01-01 16:00:00,961.905,
"2023-01-01",18,2023-01-01 16:30:00,778.069,
"2023-01-01",19,2023-01-01 17:00:00,573.647,
"2023-01-01",20,2023-01-01 17:30:00,392.7726,
"2023-01-01",21,2023-01-01 18:00:00,162.255,
"2023-01-01",22,2023-01-01 18:30:00,9.327466,
"2023-01-01",23,2023-01-01 19:00:00,0,
"2023-01-01",24,2023-01-01 19:30:00,0,
"2023-01-01",25,2023-01-01 20:00:00,0,
"2023-01-01",26,2023-01-01 20:30:00,0,
"2023-01-01",27,2023-01-01 21:00:00,0,
"2023-01-01",28,2023-01-01 21:30:00,0,
"2023-01-01",29,2023-01-01 22:00:00,0,
"2023-01-01",30,2023-01-01 22:30:00,0,
"2023-01-01",31,2023-01-01 23:00:00,0,
"2023-01-01",32,2023-01-01 23:30:00,0,
"2023-01-01",33,2023-01-02 00:00:00,0,
"2023-01-01",34,2023-01-02 00:30:00,0,
"2023-01-01",35,2023-01-02 01:00:00,0,
"2023-01-01",36,2023-01-02 01:30:00,0,
"2023-01-01",37,2023-01-02 02:00:00,0,
"2023-01-01",38,2023-01-02 02:30:00,0,
"2023-01-01",39,2023-01-02 03:00:00,0,
"2023-01-01",40,2023-01-02 03:30:00,0,
"2023-01-01",41,2023-01-02 04:00:00,0,
"2023-01-01",42,2023-01-02 04:30:00,0,
"2023-01-01",43,2023-01-02 05:00:00,0,
"2023-01-01",44,2023-01-02 05:30:00,0,
"2023-01-01",45,2023-01-02 06:00:00,35.08924,
"2023-01-01",46,2023-01-02 06:30:00,239.2613,
"2023-01-01",47,2023-01-02 07:00:00,447.275,
"2023-01-01",48,2023-01-02 07:30:00,648.4296,
"2023-01-02",1,2023-01-02 08:00:00,821.7885,
"2023-01-02",2,2023-01-02 08:30:00,1010.053,
